run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac,mean_adjacent_ari,min_adjacent_ari
10,25,25,0.85,0.7,540257,211,0.982938325698732,231,0.11624510389696607,0.01254730133439554,0.4533638227535759,0.06060606060606061,0.01902654867256637,0.8441002949852507,61.0,196.0,0.3554130298927637,0.007243752263672582,0.8838585053724496,62.0,133.0,0.35909716508676515,0.7155899826713511,0.5832529524399801
11,25,25,0.85,0.75,478770,214,0.9827391621854876,236,0.12374692956250415,0.012746464847639912,0.39618701266557615,0.059322033898305086,0.019469026548672566,0.7253687315634219,54.0,168.0,0.272519686294478,0.007243752263672582,0.7937945188941204,58.0,118.0,0.31481184240266935,0.721222272867591,0.5480613558637923
12,25,25,0.9,0.65,552801,377,0.9705238000398327,400,0.13430259576445594,0.022970191860851093,0.49102135820937887,0.05,0.03259587020648968,0.8930678466076696,61.0,202.04999999999927,0.3908726260574046,0.01509115054931788,0.9180248702161052,63.0,138.89999999999964,0.38429885772847944,0.757432178236788,0.6254070537850527
13,25,25,0.9,0.7,522935,513,0.9588395405961628,536,0.1244108079399854,0.030737568877381664,0.46844121672588035,0.029850746268656716,0.043510324483775814,0.8441002949852507,59.0,195.0,0.36747781017561754,0.02028250633828323,0.8838585053724496,61.0,132.0,0.36578672920401034,0.7525320728779686,0.5856343100417262
14,25,25,0.9,0.75,461448,594,0.9513377149306247,618,0.12241917280754167,0.03578304454623913,0.41079186243382654,0.022653721682847898,0.05073746312684366,0.7253687315634219,53.0,167.0,0.2841439325940354,0.023542194856935893,0.7937945188941204,57.0,118.0,0.31874216987213166,0.7470223486868051,0.5888363100096167
15,25,25,0.95,0.65,509000,724,0.9416450906193985,747,0.14060944035052778,0.044811790479984064,0.5368338662604059,0.029451137884872823,0.06371681415929203,0.8930678466076696,56.0,196.0,0.4320692364633123,0.02933719666787396,0.9180248702161052,60.0,133.0,0.4063157343069773,0.7600652751378247,0.6483641000283651
16,25,25,0.95,0.7,479134,1068,0.9115714001194981,1091,0.1285268538803691,0.06605589855938392,0.5142756498687179,0.016498625114573784,0.0915929203539823,0.8441002949852507,55.0,186.0,0.407497497708408,0.0451527224435591,0.8838585053724496,58.0,128.0,0.38980734892181973,0.776441642455931,0.6002349543785634
17,25,25,0.95,0.75,417647,1470,0.8816304852950939,1494,0.11677620659895108,0.09081856203943438,0.45582261543114505,0.0107095046854083,0.12433628318584071,0.7253687315634219,47.0,162.0,0.32612971159674436,0.0633828323071351,0.7937945188941204,55.0,113.0,0.339646543619117,0.753159793451644,0.6141989364226591
18,25,50,0.85,0.65,841183,184,0.9852619000199163,200,0.16158799707893515,0.011153156741684923,0.6309369131757496,0.08,0.017404129793510324,0.8930678466076696,90.0,351.0499999999993,0.5495295455742384,0.006036460219727152,0.9180248702161052,91.0,236.0,0.5475706379843673,0.7395635708006126,0.7055107159417348
19,25,50,0.85,0.7,769082,211,0.982938325698732,227,0.1516962092544646,0.01254730133439554,0.6032064477484982,0.05286343612334802,0.01902654867256637,0.8441002949852507,86.0,327.0,0.517492121452426,0.007243752263672582,0.8838585053724496,88.0,224.0,0.5243571775700675,0.7106981338089993,0.6184675797207483
20,25,50,0.85,0.75,644386,214,0.9827391621854876,231,0.1374228241386178,0.012746464847639912,0.538978379003058,0.047619047619047616,0.019469026548672566,0.7253687315634219,63.0,285.0,0.3415309284167072,0.007243752263672582,0.7937945188941204,81.0,181.0,0.4584459976787514,0.6774359877553439,0.6303298677197107
21,25,50,0.9,0.65,823861,377,0.9705238000398327,398,0.1577375024895439,0.022970191860851093,0.6449521657068505,0.04522613065326633,0.03259587020648968,0.8930678466076696,88.0,351.0,0.56294712281311,0.01509115054931788,0.9180248702161052,90.0,235.0,0.5558542730168714,0.7655796265029613,0.6829559108722679
22,25,50,0.9,0.7,751760,513,0.9588395405961628,535,0.15143065790347207,0.030737568877381664,0.6176365839696109,0.026168224299065422,0.043510324483775814,0.8441002949852507,84.0,326.0,0.5310787837054187,0.02028250633828323,0.8838585053724496,87.0,224.0,0.53013439586865,0.7713898041795871,0.6594821832056285
23,25,50,0.9,0.75,627064,594,0.9513377149306247,616,0.14459271061541526,0.03578304454623913,0.5540173268419846,0.01948051948051948,0.05073746312684366,0.7253687315634219,61.0,284.0,0.36148575007873296,0.023542194856935893,0.7937945188941204,80.0,181.0,0.462866485088659,0.7562555503247184,0.730743566554604
24,25,50,0.95,0.65,780060,724,0.9416450906193985,747,0.1530903538471752,0.044811790479984064,0.6857759961794986,0.02677376171352075,0.06371681415929203,0.8930678466076696,84.0,343.0,0.6087422967131557,0.02933719666787396,0.9180248702161052,87.0,231.0,0.5816190508181568,0.7936452790178407,0.7161675749552449
25,25,50,0.95,0.7,707959,1068,0.9115714001194981,1089,0.13835225386709155,0.06605589855938392,0.6599451992102335,0.015610651974288337,0.0915929203539823,0.8441002949852507,80.0,319.0499999999993,0.5778396002288292,0.0451527224435591,0.8838585053724496,84.0,219.0,0.5595510481823412,0.739484005281315,0.6609877895951618
26,25,50,0.95,0.75,583263,1470,0.8816304852950939,1492,0.1187678417313948,0.09081856203943438,0.5987926859314233,0.00938337801608579,0.12433628318584071,0.7253687315634219,54.0,279.09999999999854,0.4457939927274238,0.0633828323071351,0.7937945188941204,78.0,175.0,0.49229856376404746,0.730401604585843,0.6609877895951618
27,50,10,0.85,0.65,636260,184,0.9852619000199163,201,0.11790479984066919,0.011153156741684923,0.16795858839685937,0.06965174129353234,0.017404129793510324,0.8930678466076696,79.0,154.0,0.1100203533581644,0.006036460219727152,0.9180248702161052,82.0,140.0,0.10874845578420515,0.6963877045423217,0.5933122734868441
28,50,10,0.85,0.7,627535,211,0.982938325698732,231,0.11949810794662417,0.01254730133439554,0.15949540804580095,0.05194805194805195,0.01902654867256637,0.8441002949852507,79.0,152.0,0.10266163236941259,0.007243752263672582,0.8838585053724496,81.0,139.0,0.10369633399203203,0.74481827404624,0.6273259959042448
29,50,10,0.85,0.75,604635,214,0.9827391621854876,234,0.11670981876120294,0.012746464847639912,0.13473195999084334,0.03418803418803419,0.019469026548672566,0.7253687315634219,76.0,146.0,0.08340206479548704,0.007243752263672582,0.7937945188941204,79.0,136.0,0.09076345042947533,0.6956084460536877,0.6225523835719052
30,50,10,0.9,0.65,596537,377,0.9705238000398327,399,0.11929894443337981,0.022970191860851093,0.17853124924832656,0.047619047619047616,0.03259587020648968,0.8930678466076696,75.0,151.0,0.11583114072488551,0.01509115054931788,0.9180248702161052,80.0,139.0,0.11187141792090045,0.7149568945066663,0.64506721482595
31,50,10,0.9,0.7,587812,513,0.9588395405961628,537,0.11644426741021045,0.030737568877381664,0.16964394826560714,0.0297951582867784,0.043510324483775814,0.8441002949852507,75.0,149.04999999999927,0.10742173347278425,0.02028250633828323,0.8838585053724496,79.0,138.0,0.10670863714299056,0.7478457918242726,0.6643709018237021
32,50,10,0.9,0.75,564912,594,0.9513377149306247,617,0.13144791874128658,0.03578304454623913,0.14357398052159298,0.017828200972447326,0.05073746312684366,0.7253687315634219,72.0,145.0,0.0869055201291957,0.023542194856935893,0.7937945188941204,77.0,135.0,0.09215815563843004,0.7099665167685725,0.6108198159586034
