gene,species
mouse:Gpm6a,mouse
mouse:Gpm6b,mouse
mouse:Dmrta2,mouse
mouse:Dnaja1,mouse
mouse:Dnajb6,mouse
mouse:Polb,mouse
mouse:Dnase1l3,mouse
mouse:Dnm3,mouse
mouse:Eya1,mouse
mouse:Dok7,mouse
mouse:Cyp26b1,mouse
mouse:Copb2,mouse
mouse:Cbarp,mouse
mouse:Glb1l2,mouse
mouse:Fech,mouse
mouse:Adar,mouse
mouse:Col4a5,mouse
mouse:Rgmb,mouse
mouse:Draxin,mouse
mouse:Lgals1,mouse
mouse:Lgals2,mouse
mouse:Lgals3,mouse
mouse:Hk1,mouse
mouse:Fstl5,mouse
mouse:Ube2v2,mouse
mouse:Pcdha1,mouse
mouse:Pcdhga1,mouse
mouse:Rnase4,mouse
mouse:Dsc2,mouse
mouse:Dsc3,mouse
mouse:Dscam,mouse
mouse:Rcan3,mouse
mouse:Dsg2,mouse
mouse:Dsg3,mouse
mouse:Dtd1,mouse
mouse:Dtx4,mouse
mouse:Dync1i1,mouse
mouse:Dync1i2,mouse
mouse:Dynll1,mouse
mouse:Dyrk1a,mouse
mouse:Tcf3,mouse
mouse:Slc1a3,mouse
mouse:Slc1a6,mouse
mouse:Slc1a2,mouse
mouse:Slc1a1,mouse
mouse:Ebf1,mouse
mouse:Ebf3,mouse
mouse:Ebna1bp2,mouse
mouse:Cdh1,mouse
mouse:Ihh,mouse
mouse:Lect2,mouse
mouse:Lpar1,mouse
mouse:S1pr2,mouse
mouse:Edil3,mouse
mouse:Edn3,mouse
mouse:Ednra,mouse
mouse:Ednrb,mouse
mouse:Eef2,mouse
mouse:Efemp2,mouse
mouse:Efnb3,mouse
mouse:Egfr,mouse
mouse:Ehd2,mouse
mouse:Eif1,mouse
mouse:Eif3b,mouse
mouse:Eif3h,mouse
mouse:Eif3i,mouse
mouse:Eif3g,mouse
mouse:Eif3e,mouse
mouse:Eif3d,mouse
mouse:Eif4a1,mouse
mouse:Eif4b,mouse
mouse:Eif4e,mouse
mouse:Eif4e2,mouse
mouse:Eif4g2,mouse
mouse:Otog,mouse
mouse:Ephb3,mouse
mouse:Elavl3,mouse
mouse:Elavl1,mouse
mouse:Elavl4,mouse
mouse:Eln,mouse
mouse:Elovl1,mouse
mouse:Elovl4,mouse
mouse:Fbxo5,mouse
mouse:Emilin2,mouse
mouse:Emp1,mouse
mouse:Mcm3,mouse
mouse:Cd164,mouse
mouse:Pdlim5,mouse
mouse:Pdlim7,mouse
mouse:Eno2,mouse
mouse:Ensa,mouse
mouse:Eomes,mouse
mouse:Epas1,mouse
mouse:Dmtn,mouse
mouse:Epha3,mouse
mouse:Ephb2,mouse
