gene,species
mouse:AC133488.1,mouse
mouse:Elf3,mouse
mouse:Nlrp6,mouse
mouse:Ptpn3,mouse
mouse:Slc6a20a,mouse
mouse:Cyb561,mouse
mouse:Kdf1,mouse
mouse:Cd200r3,mouse
mouse:Gm20754,mouse
mouse:Krt32,mouse
mouse:Plekha2,mouse
mouse:6430628N08Rik,mouse
mouse:Isg20,mouse
mouse:Trpc7,mouse
mouse:Apol8,mouse
mouse:Atp2c2,mouse
mouse:Enpep,mouse
mouse:Gm32369,mouse
mouse:Klhl8,mouse
mouse:Pdzph1,mouse
mouse:Prrxl1,mouse
mouse:Vwa5b2,mouse
mouse:Duoxa1,mouse
mouse:Calb2,mouse
mouse:Gm29478,mouse
mouse:Gprc5a,mouse
mouse:Megf11,mouse
mouse:Rpp25,mouse
mouse:1110015O18Rik,mouse
mouse:Muc1,mouse
mouse:Lrrtm1,mouse
mouse:Npff,mouse
mouse:Rasl10b,mouse
mouse:4930555F03Rik,mouse
mouse:B230217C12Rik,mouse
mouse:Gm2897,mouse
mouse:Hoxa4,mouse
mouse:Hoxb3os,mouse
mouse:Fcna,mouse
mouse:Ghrl,mouse
mouse:Gm29260,mouse
mouse:Krt27,mouse
mouse:Gm4131,mouse
mouse:Pla2g7,mouse
mouse:Art5,mouse
mouse:Ccdc62,mouse
mouse:H2-Ab1,mouse
mouse:Kcnt1,mouse
mouse:S100a3,mouse
mouse:Eml5,mouse
mouse:Kmo,mouse
mouse:Pou3f1,mouse
mouse:1500011B03Rik,mouse
mouse:Cftr,mouse
mouse:Hc,mouse
mouse:Klk10,mouse
mouse:Lsmem1,mouse
mouse:Resp18,mouse
mouse:Gm44593,mouse
mouse:Nat14,mouse
mouse:Col6a4,mouse
mouse:Uox,mouse
mouse:Hivep3,mouse
mouse:Slc45a1,mouse
mouse:2900079G21Rik,mouse
mouse:B230334C09Rik,mouse
mouse:Insrr,mouse
mouse:Kcnk13,mouse
mouse:Pbx4,mouse
mouse:Serpinb3b,mouse
mouse:A530020G20Rik,mouse
mouse:Havcr1,mouse
mouse:Magee2,mouse
mouse:Tnfrsf14,mouse
mouse:Mapkapk5,mouse
mouse:Snx32,mouse
mouse:Timd2,mouse
mouse:Camkmt,mouse
mouse:Dbx1,mouse
mouse:Pgbd5,mouse
mouse:Tex16,mouse
mouse:Adra2b,mouse
mouse:Ankrd55,mouse
mouse:Ceacam19,mouse
mouse:Gm5105,mouse
mouse:A330102I10Rik,mouse
mouse:Cyp21a1,mouse
mouse:Nkx6-1,mouse
mouse:Pcolce2,mouse
mouse:Stfa2l1,mouse
mouse:Bbc3,mouse
mouse:Cyp2c23,mouse
mouse:Zfp941,mouse
mouse:Syt2,mouse
mouse:Abcd2,mouse
mouse:Gpa33,mouse
mouse:Hepacam,mouse
mouse:Prkag3,mouse
mouse:Fxyd4,mouse
mouse:AI849053,mouse
mouse:Lrrc15,mouse
mouse:Lynx1,mouse
mouse:Cnih3,mouse
mouse:H2-Aa,mouse
mouse:C130021I20Rik,mouse
mouse:Anks4b,mouse
mouse:Dcpp3,mouse
mouse:Hoxa2,mouse
mouse:Unc5cl,mouse
mouse:Gm9801,mouse
mouse:Oprm1,mouse
mouse:AC124561.1,mouse
mouse:Deup1,mouse
mouse:Spink4,mouse
mouse:Npffr2,mouse
mouse:Slc28a2,mouse
mouse:Gm43302,mouse
mouse:Gucy1a2,mouse
mouse:Hoxd3,mouse
mouse:Padi3,mouse
mouse:Fam161b,mouse
mouse:Gm5441,mouse
mouse:Gprin2,mouse
mouse:Pla1a,mouse
mouse:2700033N17Rik,mouse
mouse:Tm4sf20,mouse
mouse:Gm29430,mouse
mouse:Agr2,mouse
mouse:Asb17os,mouse
mouse:Mt4,mouse
mouse:Gm12116,mouse
mouse:Trpv1,mouse
mouse:Rnf32,mouse
mouse:Hnf4g,mouse
mouse:Lypd8,mouse
mouse:Mir670hg,mouse
mouse:Nyap2,mouse
mouse:Plekhb1,mouse
mouse:Cyp2b13,mouse
mouse:Gm16933,mouse
mouse:Gm35835,mouse
mouse:Gm48952,mouse
mouse:Lhfpl3,mouse
mouse:Schip1,mouse
mouse:Chrna3,mouse
mouse:Mybpc3,mouse
mouse:Zc4h2,mouse
mouse:9130015A21Rik,mouse
mouse:Gm34047,mouse
mouse:Tmem174,mouse
mouse:Lce6a,mouse
mouse:Rdh9,mouse
mouse:Slc7a14,mouse
mouse:Gm3636,mouse
mouse:Gm41230,mouse
mouse:Wfdc15b,mouse
mouse:Cbs,mouse
mouse:Rnf43,mouse
mouse:9330158H04Rik,mouse
mouse:Ano4,mouse
mouse:Dytn,mouse
mouse:Egfem1,mouse
mouse:Ttc6,mouse
mouse:Chrm2,mouse
mouse:Avp,mouse
mouse:Ccdc154,mouse
mouse:Chmp4c,mouse
mouse:Gm16559,mouse
mouse:Mylk3,mouse
mouse:Hsd3b1,mouse
mouse:Krt35,mouse
mouse:Nanos1,mouse
mouse:Cacng3,mouse
mouse:Olig1,mouse
mouse:Gp6,mouse
mouse:Akr1c13,mouse
mouse:Gm26903,mouse
mouse:Hfm1,mouse
mouse:Pou6f2,mouse
mouse:Kcnj6,mouse
mouse:3110035E14Rik,mouse
mouse:Efcab10,mouse
mouse:Enpp5,mouse
mouse:Gm42742,mouse
mouse:9530059O14Rik,mouse
mouse:Bfsp2,mouse
mouse:Cckar,mouse
mouse:Cldn2,mouse
mouse:Gckr,mouse
mouse:Gm15217,mouse
mouse:Hbq1a,mouse
mouse:Acot4,mouse
mouse:3425401B19Rik,mouse
mouse:Bmp10,mouse
mouse:Gm26803,mouse
mouse:Gm45941,mouse
mouse:0610005C13Rik,mouse
mouse:Samd12,mouse
mouse:Syt17,mouse
mouse:Ugt2b34,mouse
mouse:Ano3,mouse
mouse:Gm19866,mouse
mouse:Ggt7,mouse
mouse:Gm39244,mouse
mouse:A930024E05Rik,mouse
mouse:AC154683.1,mouse
mouse:Gm27196,mouse
mouse:Rasgef1c,mouse
mouse:Ankrd45,mouse
mouse:Atp7b,mouse
mouse:Gm28905,mouse
mouse:Slc26a1,mouse
mouse:Cyp2c68,mouse
mouse:Tox2,mouse
mouse:Nos1,mouse
mouse:Pvalb,mouse
mouse:Gm14635,mouse
mouse:Cntn6,mouse
mouse:Kcnc4,mouse
mouse:Gabrb1,mouse
mouse:Cyp11b1,mouse
mouse:Aatk,mouse
mouse:Grid1,mouse
mouse:Rasgrf1,mouse
mouse:Tnr,mouse
mouse:Ccdc85a,mouse
mouse:AC103674.4,mouse
mouse:Gm7247,mouse
mouse:Snph,mouse
mouse:Foxo6,mouse
mouse:Nr5a2,mouse
mouse:Slc7a13,mouse
mouse:1700001L19Rik,mouse
mouse:Sv2c,mouse
mouse:Cdsn,mouse
mouse:Kctd16,mouse
mouse:Hoxb4,mouse
mouse:Gm28175,mouse
mouse:Jakmip3,mouse
mouse:Cpne6,mouse
mouse:Gm24474,mouse
mouse:Slc22a19,mouse
mouse:Srrm4os,mouse
mouse:Vdr,mouse
mouse:Glra1,mouse
mouse:Acaa1b,mouse
mouse:Sh2d5,mouse
mouse:A230006K03Rik,mouse
mouse:Gm27008,mouse
mouse:L3mbtl4,mouse
mouse:Elane,mouse
mouse:Klhl3,mouse
mouse:Hcn1,mouse
mouse:9630041A04Rik,mouse
mouse:Pifo,mouse
mouse:5033428I22Rik,mouse
mouse:Akr1cl,mouse
mouse:Iqub,mouse
mouse:Plpp4,mouse
mouse:Rasgrf2,mouse
mouse:Plet1,mouse
mouse:Bhlhe23,mouse
mouse:Prr33,mouse
mouse:D130079A08Rik,mouse
mouse:Epha10,mouse
mouse:Gm43050,mouse
mouse:Marco,mouse
mouse:Cdh7,mouse
mouse:Cdh10,mouse
mouse:Gm29538,mouse
mouse:Gm8281,mouse
mouse:Eps8l3,mouse
mouse:Tspan1,mouse
mouse:Ppp1r3a,mouse
mouse:Gdf5,mouse
mouse:Cldn9,mouse
mouse:Iigp1,mouse
mouse:Mhrt,mouse
mouse:Gm15788,mouse
mouse:Gm5089,mouse
mouse:Thnsl1,mouse
mouse:Tubal3,mouse
mouse:Cyp2f2,mouse
mouse:4933417D19Rik,mouse
mouse:Sync,mouse
mouse:Pcnx2,mouse
mouse:4930426D05Rik,mouse
mouse:Defb11,mouse
mouse:Enkur,mouse
mouse:Arsj,mouse
mouse:Lrguk,mouse
mouse:Gm12709,mouse
mouse:AI854703,mouse
mouse:Gpr21,mouse
mouse:Hbq1b,mouse
mouse:Nefh,mouse
mouse:Slfn14,mouse
mouse:Gata4,mouse
mouse:Mybphl,mouse
mouse:Adcy8,mouse
mouse:St8sia1,mouse
mouse:Cpne9,mouse
mouse:Xdh,mouse
mouse:Ppp1r32,mouse
mouse:Grap2,mouse
mouse:Clps,mouse
mouse:Zfp786,mouse
mouse:1500009C09Rik,mouse
mouse:Slc35f4,mouse
mouse:Slc6a5,mouse
mouse:Kcna2,mouse
mouse:4833427G06Rik,mouse
mouse:Sox14,mouse
mouse:Unc80,mouse
mouse:Gm13881,mouse
mouse:Gm47512,mouse
mouse:Krt71,mouse
mouse:3110039M20Rik,mouse
mouse:Dmrtb1,mouse
mouse:5330434G04Rik,mouse
mouse:Adcyap1,mouse
mouse:Lmx1b,mouse
mouse:C230004F18Rik,mouse
mouse:Gm15845,mouse
mouse:Pln,mouse
mouse:Hsd17b13,mouse
mouse:Krt75,mouse
mouse:Defa24,mouse
mouse:Meig1,mouse
mouse:Ehf,mouse
mouse:B230209E15Rik,mouse
mouse:Irx6,mouse
mouse:Klk7,mouse
mouse:Scnn1b,mouse
mouse:Upk3a,mouse
mouse:Dbh,mouse
mouse:Carmn,mouse
mouse:Ntn5,mouse
mouse:Spink8,mouse
mouse:Gm8909,mouse
mouse:Gm13111,mouse
mouse:Ikzf4,mouse
mouse:Ncmap,mouse
mouse:Ctsg,mouse
mouse:Prlr,mouse
mouse:Slc6a11,mouse
mouse:Oprl1,mouse
mouse:5830418P13Rik,mouse
mouse:Dnah6,mouse
mouse:Gpr45,mouse
mouse:Nkx2-3,mouse
mouse:Hoxc13,mouse
mouse:Lamp5,mouse
mouse:9430041J12Rik,mouse
mouse:Sec1,mouse
mouse:Gm36843,mouse
mouse:Slc27a6,mouse
mouse:Rragb,mouse
mouse:Treml1,mouse
mouse:Gjd2,mouse
mouse:Hsd3b6,mouse
mouse:Scnn1g,mouse
mouse:Gabrg1,mouse
mouse:St6galnac5,mouse
mouse:Sgsm1,mouse
mouse:1700011H14Rik,mouse
mouse:Zfp641,mouse
mouse:Fcgbp,mouse
mouse:Prrt1,mouse
mouse:Gm20663,mouse
mouse:4930469K13Rik,mouse
mouse:Upb1,mouse
mouse:1700016K19Rik,mouse
mouse:Sftpa1,mouse
mouse:Tmem27,mouse
mouse:Myo5c,mouse
mouse:Ppef1,mouse
mouse:Nags,mouse
mouse:Onecut1,mouse
mouse:Rab9b,mouse
mouse:Tecta,mouse
mouse:Gm21814,mouse
mouse:Gm3752,mouse
mouse:Gbp6,mouse
mouse:Trim31,mouse
mouse:Gm35040,mouse
mouse:Ripply1,mouse
mouse:1700018A04Rik,mouse
mouse:Scrt1,mouse
mouse:5730419F03Rik,mouse
mouse:Hcrtr2,mouse
mouse:Cbln4,mouse
mouse:Gm4450,mouse
mouse:Gm45159,mouse
mouse:Scn4a,mouse
mouse:Gm14280,mouse
mouse:Klk1b26,mouse
mouse:Ins2,mouse
mouse:Prss56,mouse
mouse:Adipoq,mouse
mouse:F730016J06Rik,mouse
mouse:Gm43120,mouse
mouse:2900040C04Rik,mouse
mouse:Naip5,mouse
mouse:Pde11a,mouse
mouse:Gm11266,mouse
mouse:Gm38505,mouse
mouse:Slc6a3,mouse
mouse:Gm8773,mouse
mouse:Lmod1,mouse
mouse:4930524O07Rik,mouse
mouse:Spag6l,mouse
mouse:B4galnt2,mouse
mouse:Gm15825,mouse
mouse:Gm26752,mouse
mouse:Gm43518,mouse
mouse:Gm42517,mouse
mouse:Dusp15,mouse
mouse:Tmem213,mouse
mouse:Olig2,mouse
mouse:Gm48956,mouse
mouse:Gm12371,mouse
mouse:Hsd11b2,mouse
mouse:Gm3739,mouse
mouse:Slco1a4,mouse
mouse:Gpr139,mouse
mouse:Cacng2,mouse
mouse:Zdhhc22,mouse
mouse:Slc5a8,mouse
mouse:Zmat4,mouse
mouse:Gm27199,mouse
mouse:Myo1a,mouse
mouse:Col28a1,mouse
mouse:Rph3a,mouse
mouse:Spef2,mouse
mouse:Mgam,mouse
mouse:Ifitm7,mouse
mouse:Gm30270,mouse
mouse:Spire2,mouse
mouse:Kcne2,mouse
mouse:Cnpy1,mouse
mouse:Kctd4,mouse
mouse:Gm45060,mouse
mouse:Idi2,mouse
mouse:Btnl10,mouse
mouse:Gm10283,mouse
mouse:Ugt2b35,mouse
mouse:B230217J21Rik,mouse
mouse:Malrd1,mouse
mouse:Kcnh5,mouse
mouse:A330008L17Rik,mouse
mouse:Tmem52b,mouse
mouse:2610027F03Rik,mouse
mouse:Elfn2,mouse
mouse:1700007K13Rik,mouse
mouse:Olfm4,mouse
mouse:Sprr2f,mouse
mouse:Gm867,mouse
mouse:Myrfl,mouse
mouse:Slc30a3,mouse
mouse:Atp6v0d2,mouse
mouse:Gm33460,mouse
mouse:Vwc2l,mouse
mouse:9630028H03Rik,mouse
mouse:Vax1,mouse
mouse:Gm15679,mouse
mouse:Gm2824,mouse
mouse:Gml2,mouse
mouse:Acsm2,mouse
mouse:Krt20,mouse
mouse:Gm49291,mouse
mouse:3110082J24Rik,mouse
mouse:Gm14226,mouse
mouse:Gpr158,mouse
mouse:Mep1b,mouse
mouse:Krt73,mouse
mouse:Plin1,mouse
mouse:Slc22a2,mouse
mouse:1700024G13Rik,mouse
mouse:Gm16070,mouse
mouse:Cdx1,mouse
mouse:Gm3002,mouse
mouse:Dydc1,mouse
mouse:Nkx2-5,mouse
mouse:Gm15966,mouse
mouse:2410004P03Rik,mouse
mouse:Slc17a4,mouse
mouse:Hnf4aos,mouse
mouse:Uts2b,mouse
mouse:Wdr63,mouse
mouse:3300002A11Rik,mouse
mouse:C78859,mouse
mouse:AF529169,mouse
mouse:Gm34030,mouse
mouse:Gm43236,mouse
mouse:Shbg,mouse
mouse:Gbx1,mouse
mouse:Bsnd,mouse
mouse:Gm2974,mouse
mouse:AI314278,mouse
mouse:Gm44644,mouse
mouse:Crnn,mouse
mouse:Gm7271,mouse
mouse:Hoxd12,mouse
mouse:Cxcl15,mouse
mouse:Gm10558,mouse
mouse:Irs4,mouse
mouse:Gm19345,mouse
mouse:Gm16894,mouse
mouse:1700021F13Rik,mouse
mouse:Lrrc23,mouse
mouse:Gsdmc3,mouse
mouse:Gm26725,mouse
mouse:C2cd4b,mouse
mouse:Fam163a,mouse
mouse:1500035N22Rik,mouse
mouse:Defb9,mouse
mouse:Alpi,mouse
mouse:Gpr22,mouse
mouse:2010300F17Rik,mouse
mouse:Kcnj10,mouse
mouse:Tmprss11a,mouse
mouse:Gm13054,mouse
mouse:Gm34562,mouse
mouse:Krt83,mouse
mouse:Trappc3l,mouse
mouse:Nms,mouse
mouse:Gssos1,mouse
mouse:Helt,mouse
mouse:Gsx1,mouse
mouse:Serpinb1b,mouse
mouse:Fam181a,mouse
mouse:Plet1os,mouse
mouse:Gm14257,mouse
mouse:R3hdml,mouse
mouse:Tectb,mouse
mouse:Tinag,mouse
mouse:Gm16006,mouse
mouse:En2,mouse
mouse:Pcp2,mouse
mouse:Keg1,mouse
mouse:Gm13629,mouse
mouse:Gm11377,mouse
mouse:Foxe1,mouse
mouse:Dmbx1,mouse
mouse:Cym,mouse
mouse:U90926,mouse
mouse:Gm45842,mouse
mouse:Sftpb,mouse
mouse:B020031H02Rik,mouse
mouse:Tmem74,mouse
mouse:Gm44643,mouse
mouse:D630039A03Rik,mouse
mouse:Gm38534,mouse
mouse:Gm32710,mouse
mouse:Foxb1,mouse
mouse:Gas2l2,mouse
mouse:Bglap,mouse
mouse:Gm26700,mouse
mouse:Glyat,mouse
mouse:Fcnb,mouse
mouse:Gm33489,mouse
mouse:Cdx2,mouse
mouse:Defb10,mouse
mouse:Ms4a8a,mouse
mouse:A830011K09Rik,mouse
mouse:Gm12298,mouse
mouse:Gbp4,mouse
mouse:Gm43517,mouse
mouse:Dmrta2os,mouse
mouse:Myo7b,mouse
mouse:2700046A07Rik,mouse
mouse:Hoxa13,mouse
mouse:Cxcl17,mouse
mouse:Gm26973,mouse
mouse:Rnf186,mouse
mouse:Cyp4a31,mouse
mouse:Cst8,mouse
mouse:2410017I17Rik,mouse
mouse:Gm15524,mouse
mouse:Krtap8-1,mouse
mouse:Gm13425,mouse
mouse:1700001C02Rik,mouse
mouse:Hcrt,mouse
mouse:Car4,mouse
mouse:Olig3,mouse
mouse:C230072F16Rik,mouse
mouse:Clca1,mouse
mouse:Htr3b,mouse
mouse:Gm15557,mouse
mouse:Ms4a18,mouse
mouse:Defa17,mouse
mouse:Drc7,mouse
mouse:Gm4166,mouse
mouse:Slc6a18,mouse
mouse:Mcidas,mouse
mouse:Gm19990,mouse
mouse:Gm35501,mouse
mouse:Gm19554,mouse
mouse:Tmprss11b,mouse
mouse:Gm15689,mouse
mouse:Gm20083,mouse
mouse:Gm20649,mouse
mouse:Chrna6,mouse
mouse:H2-T3,mouse
mouse:Lhb,mouse
mouse:Tbx22,mouse
mouse:Hand1,mouse
mouse:Ffar3,mouse
mouse:Gm26872,mouse
mouse:Dcpp1,mouse
mouse:Gm20395,mouse
mouse:Gm27197,mouse
mouse:Slc22a12,mouse
mouse:Gm15543,mouse
mouse:Gm34304,mouse
mouse:Nppb,mouse
mouse:Gm26793,mouse
mouse:Neurog3,mouse
mouse:Rax,mouse
mouse:Nkx2-4,mouse
mouse:Sec14l3,mouse
human:ALDH1L1,human
human:SOX12,human
human:CAMKV,human
human:TST,human
human:RPS11,human
human:BSG,human
human:HS6ST3,human
human:MAP9,human
human:RBFOX1,human
human:HBZ,human
human:ABCA1,human
human:ABCB6,human
human:ABHD17A,human
human:ABI3BP,human
human:SOAT2,human
human:ATP2A1,human
human:ASIC2,human
human:ASIC1,human
human:FURIN,human
human:MACF1,human
human:CHRNA1,human
human:CHRNG,human
human:PGM5,human
human:ACIN1,human
human:ACLY,human
human:ACP5,human
human:ACSL1,human
human:ACSS1,human
human:ACTC1,human
human:ACTA1,human
human:ACTG1,human
human:ACTB,human
human:ACTN2,human
human:ACTR1A,human
human:ACTR2,human
human:ACVR2A,human
human:ADAM12,human
human:ADAMTS15,human
human:ADAMTS2,human
human:THSD4,human
human:ADD3,human
human:ADGRL2,human
human:ADH5,human
human:ADIPOR1,human
human:ADNP,human
human:SLC4A1,human
human:AEBP1,human
human:CTNNA1,human
human:AFAP1L1,human
human:APOA2,human
human:GATM,human
human:ACAN,human
human:AGL,human
human:AGO1,human
human:AGRP,human
human:APLNR,human
human:AGXT,human
human:AHSG,human
human:AIMP1,human
human:AKAP12,human
human:AKAP13,human
human:HSP90AA1,human
human:AKR1A1,human
human:EFNA5,human
human:ALAS2,human
human:ALAS1,human
human:ALCAM,human
human:ALDH2,human
human:COPS2,human
human:TGFBR1,human
human:ALPL,human
human:PDLIM3,human
human:COL1A1,human
human:COL1A2,human
human:SPTAN1,human
human:ALX4,human
human:AMBP,human
human:DCAF7,human
human:ANGPTL1,human
human:ANGPTL2,human
human:ANK1,human
human:ANK2,human
human:ANK3,human
human:ANKRD10,human
human:ANKRD46,human
human:NUSAP1,human
human:SERPINC1,human
human:ANTXR1,human
human:ANXA5,human
human:KDM1A,human
human:TFAP2B,human
human:AP2M1,human
human:APBB2,human
human:SPEG,human
human:API5,human
human:APLP1,human
human:APOBEC2,human
human:APOA1,human
human:APOA4,human
human:APOB,human
human:APOD,human
human:APOE,human
human:LRP8,human
human:APP,human
human:NAE1,human
human:AQP3,human
human:ARCN1,human
human:ARF1,human
human:ARF3,human
human:ARGLU1,human
human:SORBS2,human
human:RHOA,human
human:RND3,human
human:ARHGAP35,human
human:ARHGAP36,human
human:ARHGEF2,human
human:ARHGEF7,human
human:ARHGEF9,human
human:RND2,human
human:TOMM20,human
human:PHOX2A,human
human:ARL15,human
human:ARL3,human
human:ARL4A,human
human:ARL6IP5,human
human:ARL5B,human
human:ARNT2,human
human:DDC,human
human:ARPC5,human
human:ARPC5L,human
human:ARPP19,human
human:ARRB2,human
human:ARRB1,human
human:ARRDC3,human
human:ARX,human
human:ASF1A,human
human:ASGR1,human
human:ASGR2,human
human:ASCL1,human
human:PARD3,human
human:ASIP,human
human:ASPN,human
human:ASS1,human
human:ROBO2,human
human:ATF4,human
human:ATOH1,human
human:DTNA,human
human:NEUROD6,human
human:ATP1B3,human
human:ATP2A2,human
human:ATP6V1E1,human
human:ATP6V0A1,human
human:ATP6V1A,human
human:ATP6V1B2,human
human:ATP1A2,human
human:ATP1A3,human
human:ANTXR2,human
human:ATRNL1,human
human:RERE,human
human:ENPP2,human
human:AURKB,human
human:AUTS2,human
human:DNAJC6,human
human:FOXA2,human
human:AXIN2,human
human:AZIN1,human
human:OAZ1,human
human:OAZ2,human
human:B3GAT1,human
human:HBE1,human
human:BACH2,human
human:SMARCC2,human
human:ACTL6A,human
human:SMARCE1,human
human:SMARCD1,human
human:ADGRB1,human
human:ADGRB3,human
human:MAGI1,human
human:LAMA1,human
human:STOM,human
human:BARHL1,human
human:RPL7,human
human:BBIP1,human
human:MAPKAPK2,human
human:BLCAP,human
human:CHMP2A,human
human:PHB2,human
human:CKB,human
human:BCL11A,human
human:BCL11B,human
human:BCL2L1,human
human:DLL3,human
human:ITGA5,human
human:LHX2,human
human:PSMB6,human
human:ITGB1,human
human:PSMB7,human
human:NEUROD1,human
human:BHLHE22,human
human:PSMB5,human
human:NAPB,human
human:FOXG1,human
human:FABP7,human
human:ADGRG6,human
human:BGN,human
human:CDH2,human
human:BICDL1,human
human:BICC1,human
human:TGFBI,human
human:BIN1,human
human:MYL12B,human
human:HSPA5,human
human:FREM2,human
human:PTCH1,human
human:SLC17A6,human
human:BMI1,human
human:GDF10,human
human:BMP4,human
human:BMP5,human
human:BNIP3L,human
human:ATCAY,human
human:BNC2,human
human:IFITM5,human
human:DST,human
human:SMARCA4,human
human:ZMYND11,human
human:PTBP1,human
human:POU3F3,human
human:POU3F2,human
human:POU4F1,human
human:POU4F3,human
human:POU4F2,human
human:MPC2,human
human:MPPED2,human
human:CELF5,human
human:BSN,human
human:SPTB,human
human:BTBD3,human
human:BTG1,human
human:TRIM29,human
human:SP5,human
human:DCTN1,human
human:SEC24D,human
human:B2M,human
human:HOXB9,human
human:HOXC9,human
human:TSPO2,human
human:TSPO,human
human:BZW1,human
human:MCMBP,human
human:CDC123,human
human:TMEM258,human
human:RASSF8,human
human:EAPP,human
human:PAGR1,human
human:SERPING1,human
human:ILDR2,human
human:SLC22A4,human
human:CFAP206,human
human:PPDPF,human
human:C3,human
human:ABRACL,human
human:VTA1,human
human:SFT2D1,human
human:PTPRZ1,human
human:CACNB3,human
human:CACNB4,human
human:CABP7,human
human:CALN1,human
human:CACNA1A,human
human:CACNA1B,human
human:CACNA1S,human
human:CACNG1,human
human:CACNG4,human
human:CALD1,human
human:CDH5,human
human:CADPS,human
human:LAMA2,human
human:PDIA4,human
human:CALCA,human
human:CALM2,human
human:CALM1,human
human:CALM3,human
human:CALR,human
human:CALU,human
human:CHL1,human
human:CAMK1D,human
human:CAMK2B,human
human:CAMK2D,human
human:CAMK2N1,human
human:CAMK2N2,human
human:PPM1E,human
human:CAMSAP1,human
human:CAMSAP2,human
human:CAMTA1,human
human:NCAPD2,human
human:CAPNS2,human
human:CAPNS1,human
human:CAPRIN1,human
human:TCF21,human
human:CAPZA1,human
human:CAPZA2,human
human:CARMIL2,human
human:CAVIN4,human
human:COX5A,human
human:CNR1,human
human:LIMA1,human
human:SCARB1,human
human:NMRK2,human
human:MCM4,human
human:SMOX,human
human:PKM,human
human:MMP13,human
human:CPN1,human
human:FHL1,human
human:RABL6,human
human:IVNS1ABP,human
human:HADHA,human
human:TPX2,human
human:CEBPA,human
human:BLVRB,human
human:FOS,human
human:GSN,human
human:PDZK1,human
human:ID1,human
human:TRIM33,human
human:IP6K2,human
human:RRM2,human
human:KRT15,human
human:KRT14,human
human:KRT17,human
human:KRT13,human
human:KRT19,human
human:SLC38A2,human
human:CGN,human
human:PABPC4,human
human:KLF2,human
human:SNU13,human
human:HES1,human
human:ATP1B1,human
human:CCNG1,human
human:CLIC4,human
human:SNAI2,human
human:HSPB1,human
human:DDX18,human
human:PCNA,human
human:CCND1,human
human:PPM1G,human
human:TPI1,human
human:PPL,human
human:KRT1,human
human:KRT4,human
human:KRT7,human
human:KRT8,human
human:PTGDS,human
human:YAP1,human
human:GLUL,human
human:ZFP36L1,human
human:MYH8,human
human:PRC1,human
human:KTN1,human
human:SERPINH1,human
human:PHC2,human
human:COL27A1,human
human:TAGLN2,human
human:MEIS1,human
human:SLC25A22,human
human:FGFR1,human
human:SOX2,human
human:SOX11,human
human:ANGPTL6,human
human:JAG1,human
human:ELL2,human
human:EPHA4,human
human:SESTD1,human
human:NEUROG1,human
human:SESN3,human
human:KDM5B,human
human:CCNB1,human
human:SEC13,human
human:MBP,human
human:VIM,human
human:PAX6,human
human:COPA,human
human:TRAM1,human
human:SELENOF,human
human:DES,human
human:FRZB,human
human:NPC2,human
human:PAICS,human
human:CNMD,human
human:EGFL6,human
human:BCAS2,human
human:MKI67,human
human:GAP43,human
human:ID2,human
human:TNNT2,human
human:PRRX1,human
human:CXADR,human
human:HOXA3,human
human:NEO1,human
human:COL9A1,human
human:COL9A2,human
human:CERCAM,human
human:SIX3,human
human:SEC31A,human
human:UCHL1,human
human:PIGQ,human
human:MYBPH,human
human:RRBP1,human
human:COL9A3,human
human:COL18A1,human
human:CDCA8,human
human:FIBIN,human
human:COLEC12,human
human:PAX2,human
human:CEBPB,human
human:TOMM22,human
human:COL14A1,human
human:FZD2,human
human:MMP14,human
human:UNC45B,human
human:ST8SIA2,human
human:RRM1,human
human:PMEL,human
human:TENM3,human
human:SCCPDH,human
human:MAD2L1,human
human:SEC61A1,human
human:NAV3,human
human:PAK2,human
human:CRABP2,human
human:MSX1,human
human:CCNG2,human
human:TNNT3,human
human:SDC2,human
human:ARF5,human
human:JPH2,human
human:EPB41L3,human
human:CRABP1,human
human:YWHAG,human
human:ARPP21,human
human:YPEL3,human
human:SMOC2,human
human:COL15A1,human
human:CLUH,human
human:TACC3,human
human:CDON,human
human:CKM,human
human:SPRY4,human
human:PTMA,human
human:ETS1,human
human:MDK,human
human:KLHL41,human
human:LMO1,human
human:PLK1,human
human:CPOX,human
human:TGFBR2,human
human:ID4,human
human:GATA3,human
human:MYOG,human
human:GPX4,human
human:EZR,human
human:DCLK2,human
human:MARCKSL1,human
human:PRDX2,human
human:NPM3,human
human:AHCYL1,human
human:HDLBP,human
human:DHFR,human
human:SIPA1L1,human
human:GATA6,human
human:GLUD1,human
human:GATA5,human
human:IMPDH2,human
human:MYF5,human
human:DLGAP5,human
human:IGFBP1,human
human:HIGD1A,human
human:DMD,human
human:CCNA2,human
human:TPM3,human
human:MSI1,human
human:SELENOP,human
human:GPX1,human
human:SELENOM,human
human:SELENOW,human
human:MIEN1,human
human:SELENOH,human
human:SEPHS2,human
human:NAP1L1,human
human:PRDX3,human
human:FOXI1,human
human:RAB14,human
human:UCP2,human
human:HSPA9,human
human:DYNLL2,human
human:MSI2,human
human:RAB2A,human
human:SSR1,human
human:PSAP,human
human:GSTM3,human
human:PAK1,human
human:RAB13,human
human:KDELR2,human
human:NDRG1,human
human:SMC4,human
human:CSRP1,human
human:JUP,human
human:MCM6,human
human:ZIC3,human
human:KRT18,human
human:TPM2,human
human:MPZL2,human
human:ZIC2,human
human:DSTN,human
human:HSPD1,human
