run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,resolution,mean_seed_ari,min_seed_ari,mean_active_seed_ari,min_active_seed_ari,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac
46,50,50,0.85,0.7,1.0,0.7494099935904873,0.6836460956368483,0.7487380639237503,0.6827410958405019,1011240,211,0.982938325698732,231,0.13490008630418907,0.01254730133439554,0.44484172009894485,0.05194805194805195,0.01902654867256637,0.8441002949852507,119.0,364.0,0.3540554587241117,0.007243752263672582,0.8838585053724496,122.0,263.0,0.3585976953947023
46,50,50,0.85,0.7,1.5,0.8035628296550176,0.73577303805796,0.8031636721887256,0.7352210899265215,1011240,211,0.982938325698732,234,0.11106685255261237,0.01254730133439554,0.44484172009894485,0.06837606837606838,0.01902654867256637,0.8441002949852507,119.0,364.0,0.3540554587241117,0.007243752263672582,0.8838585053724496,122.0,263.0,0.3585976953947023
48,50,50,0.9,0.65,0.5,0.8742262370952701,0.7966987368800695,0.8730898852904712,0.7948638131860092,1043618,377,0.9705238000398327,391,0.20029210648609175,0.022970191860851093,0.49242425220492614,0.03324808184143223,0.03259587020648968,0.8930678466076696,121.0,387.09999999999854,0.4016508232328454,0.01509115054931788,0.9180248702161052,125.0,273.0,0.39140316131475394
48,50,50,0.9,0.65,1.0,0.7936927949207548,0.7464421267098591,0.792673190933048,0.7451958007085256,1043618,377,0.9705238000398327,400,0.13629423089689968,0.022970191860851093,0.49242425220492614,0.045,0.03259587020648968,0.8930678466076696,121.0,387.09999999999854,0.4016508232328454,0.01509115054931788,0.9180248702161052,125.0,273.0,0.39140316131475394
48,50,50,0.9,0.65,1.5,0.8271528448086729,0.7352146129137105,0.8265016185371113,0.7341948844651893,1043618,377,0.9705238000398327,401,0.11471818362875921,0.022970191860851093,0.49242425220492614,0.05486284289276808,0.03259587020648968,0.8930678466076696,121.0,387.09999999999854,0.4016508232328454,0.01509115054931788,0.9180248702161052,125.0,273.0,0.39140316131475394
49,50,50,0.9,0.7,0.5,0.8293463508144713,0.7233315865009888,0.8273367982554275,0.7200820733068803,971517,513,0.9588395405961628,528,0.214831042952931,0.030737568877381664,0.4631419285372849,0.020833333333333332,0.043510324483775814,0.8441002949852507,116.0,360.0499999999993,0.36948614932113033,0.02028250633828323,0.8838585053724496,120.0,260.89999999999964,0.36831937875456244
49,50,50,0.9,0.7,1.0,0.7696396657854935,0.6964321164228202,0.7681961147661054,0.694448360539577,971517,513,0.9588395405961628,535,0.13184624576777534,0.030737568877381664,0.4631419285372849,0.028037383177570093,0.043510324483775814,0.8441002949852507,116.0,360.0499999999993,0.36948614932113033,0.02028250633828323,0.8838585053724496,120.0,260.89999999999964,0.36831937875456244
49,50,50,0.9,0.7,1.5,0.7654028591953069,0.6691143589246683,0.7642536773204177,0.6674804645485528,971517,513,0.9588395405961628,540,0.11159795525459736,0.030737568877381664,0.4631419285372849,0.03518518518518519,0.043510324483775814,0.8441002949852507,116.0,360.0499999999993,0.36948614932113033,0.02028250633828323,0.8838585053724496,120.0,260.89999999999964,0.36831937875456244
50,50,50,0.9,0.75,0.5,0.9206537845677566,0.890606507530263,0.9197645724054402,0.8893843786014023,846821,594,0.9513377149306247,610,0.1923255659563168,0.03578304454623913,0.3988370534103348,0.014754098360655738,0.05073746312684366,0.7253687315634219,95.0,322.0,0.24081314637204204,0.023542194856935893,0.7937945188941204,111.0,222.0,0.30636143933265814
50,50,50,0.9,0.75,1.0,0.7970938875238706,0.705647414533863,0.7956910391164799,0.7036486454876146,846821,594,0.9513377149306247,615,0.12434442010223727,0.03578304454623913,0.3988370534103348,0.01951219512195122,0.05073746312684366,0.7253687315634219,95.0,322.0,0.24081314637204204,0.023542194856935893,0.7937945188941204,111.0,222.0,0.30636143933265814
